date,session,player_id,squad,position,total_distance_m,high_speed_running_m,sprint_distance_m,max_speed_ms,rpe
2026-04-22,MD-3 HIGH INTENSITY,NF015,U23,WM,9608.4,1317.9,531.3,,5
2026-04-24,md-1 activation,NF015,U23,WM,6213.4,716.0,303.5,9.05,7
24 Apr 2026,MD-1 activation,NF012,U23,CM,6626.0,782.3,200.7,8.33,5
2026-04-24,MD-1 ACTIVATION,NF035,U18,FW,6137.6,654.5,265.6,8.93,9
2026-04-22,MD-3 high intensity,NF021,U23,WM,9536.4,1153.9,464.1,,8
2026-04-22,MD-3 high intensity,NF020,U23,CM,9370.8,897.4,325.6,7.94,5
22/04/2026,Md-3 High Intensity,NF059,U16,CM,10576.6,1008.0,389.7,,3
2026-04-22,md-3 high intensity,NF039,U18,FB,9787.2,1063.6,272.9,,9
2026-04-22,Md-3 High Intensity,NF027,U18,CB,7677.7,608.1,238.0,,9
2026-04-24,MD-1 ACTIVATION,NF001,U23,CM,7006.9,688.6,213.8,9.03,8
22/04/2026,md-3 high intensity,NF022 ,U23,CB,7533.9,632.8,202.5,,3
2026-04-20,Match + 1 Recovery,NF005,U23,FW,4561.1,652.0,232.5,8.99,7
2026-04-22,MD-3 HIGH INTENSITY,NF041,U18,WM,9228.7,1340.2,494.5,,5
2026-04-22,MD-3 HIGH INTENSITY,NF005,U23,FW,9646.4,1047.0,383.3,,7
2026-04-24,MD-1 activation,NF038,U18,FB,5923.9,635.9,218.6,9.22,6
2026-04-24,MD-1 ACTIVATION,NF016 ,U23,FB,18698.56,559.1,213.7,8.49,5
20 Apr 2026,Match + 1 recovery,NF014,U23,WM,4404.5,567.3,246.1,9.3,8
2026-04-24,MD-1 activation,NF060,U16,FB,6508.1,826.4,258.7,8.83,4
24/04/2026,md-1 activation,NF025,U18,FW,5513.9,703.2,207.3,8.97,9
24/04/2026,MD-1 activation,NF014,U23,WM,6787.0,916.6,233.1,9.61,7
2026-04-22,md-3 high intensity,NF058 ,U16,WM,10936.5,1163.6,476.2,,3
2026-04-22,md-3 high intensity,NF003,U23,CB,7775.9,518.7,133.7,,8
2026-04-20,Match + 1 recovery,NF003,U23,CB,3839.9,247.1,93.4,8.09,6
2026-04-20,MATCH + 1 RECOVERY,NF001,U23,CM,4978.8,591.7,249.8,7.92,5
2026-04-20,match + 1 recovery,NF002,U23,WM,4464.0,565.2,192.6,9.81,3
2026-04-22,Md-3 High Intensity,NF028,U18,CB,7820.4,496.7,208.8,,8
24/04/2026,MD-1 ACTIVATION,NF057 ,U16,CB,5344.0,337.2,85.4,8.28,5
20 Apr 2026,Match + 1 Recovery,NF006 ,U23,CM,5202.7,559.8,219.8,8.36,4
2026-04-22,md-3 high intensity,NF043,U16,WM,10800.0,1446.2,636.6,,8
24/04/2026,MD-1 ACTIVATION,NF026 ,U18,CM,6832.3,756.3,283.1,8.67,5
20 Apr 2026,Match + 1 recovery,NF022,U23,CB,3481.5,248.8,83.6,7.5,4
24/04/2026,MD-1 activation,NF036 ,U18,CB,5016.8,301.7,81.6,7.72,9
2026-04-24,MD-1 activation,NF050,U16,CB,4438.4,308.3,100.0,8.44,5
24/04/2026,MD-1 activation,NF047,U16,CB,4969.8,299.8,85.8,8.18,8
24/04/2026,MD-1 activation,NF002,U23,WM,6329.7,980.2,374.1,8.98,8
2026-04-22,MD-3 high intensity,NF056,U16,WM,10472.9,1379.8,608.2,,8
22/04/2026,MD-3 HIGH INTENSITY,NF013,U23,WM,11046.9,1446.4,376.1,,6
24/04/2026,md-1 activation,NF040,U18,WM,7199.6,1025.4,264.8,9.76,6
24/04/2026,MD-1 activation,NF020,U23,CM,6929.7,706.4,222.5,9.02,3
24/04/2026,Md-1 Activation,NF013 ,U23,WM,6658.7,1031.1,331.7,9.13,4
22/04/2026,Md-3 High Intensity,NF014,U23,WM,10348.0,1463.2,513.5,,9
,,,,,,,,,
20 Apr 2026,Match + 1 recovery,NF013,U23,WM,5282.7,822.8,297.2,9.53,3
2026-04-24,MD-1 activation,NF011,U23,CM,6980.2,765.9,336.4,8.38,7
20 Apr 2026,Match + 1 Recovery,NF006 ,U23,CM,5202.7,559.8,219.8,8.36,4
20/04/2026,MATCH + 1 RECOVERY,NF019,U23,CB,3888.8,232.4,63.5,7.56,8
2026-04-22,MD-3 HIGH INTENSITY,NF047,U16,CB,7502.6,550.9,192.7,,8
24/04/2026,MD-1 activation,NF019 ,U23,CB,4779.1,359.4,125.1,8.41,7
2026-04-20,MATCH + 1 RECOVERY,NF015,U23,WM,5190.2,648.8,284.4,9.34,4
22 Apr 2026,Md-3 High Intensity,NF024,U18,FW,9801.9,1279.0,518.7,,8
24/04/2026,MD-1 ACTIVATION,NF024 ,U18,FW,5678.7,726.5,290.6,9.92,7
22 Apr 2026,MD-3 high intensity,NF054,U16,FB,8725.1,1138.4,360.2,,6
20 Apr 2026,match + 1 recovery,NF011 ,U23,CM,4893.7,560.1,201.7,7.97,6
20/04/2026,Match + 1 recovery,NF020 ,U23,CM,5299.4,531.1,159.4,8.93,9
24/04/2026,Md-1 Activation,NF032 ,U18,FW,5888.1,630.3,228.0,9.67,3
2026-04-22,Md-3 High Intensity,NF012,U23,CM,10338.4,928.0,353.8,,9
20 Apr 2026,Match + 1 Recovery,NF008,U23,CB,3453.8,243.1,74.3,7.96,6
2026-04-22,md-3 high intensity,NF032 ,U18,FW,8666.4,1124.4,342.0,9.15,8
24/04/2026,MD-1 ACTIVATION,NF023,U18,CB,4478.4,262.9,104.6,8.31,6
2026-04-22,Md-3 High Intensity,NF034 ,U18,WM,9136.6,1204.0,367.0,,3
2026-04-22,MD-3 high intensity,NF037,U18,CB,7652.0,594.7,193.9,,8
2026-04-22,md-3 high intensity,NF011,U23,CM,10984.6,943.5,244.6,,6
22/04/2026,md-3 high intensity,NF006,U23,CM,9554.4,1108.1,319.2,,3
2026-04-24,MD-1 activation,NF017,U23,FW,5326.3,701.0,249.0,9.76,4
22/04/2026,md-3 high intensity,NF002,U23,WM,10749.0,1610.6,410.6,,9
22/04/2026,Md-3 High Intensity,NF051,U16,CM,35467.520000000004,1037.4,422.8,8.21,6
2026-04-24,Md-1 Activation,NF031 ,U18,FB,5544.5,561.4,164.1,8.63,6
2026-04-24,md-1 activation,NF052 ,U16,WM,6449.7,698.1,205.9,9.04,5
24 Apr 2026,MD-1 ACTIVATION,NF005,U23,FW,5418.8,756.8,238.7,9.35,5
24/04/2026,MD-1 ACTIVATION,NF042 ,U18,CB,4897.2,296.0,96.1,7.75,3
22 Apr 2026,md-3 high intensity,NF053,U16,FW,9608.7,1111.9,348.7,,3
24/04/2026,Md-1 Activation,NF056,U16,WM,6053.0,936.3,246.7,9.29,3
24/04/2026,MD-1 ACTIVATION,NF003,U23,CB,4871.8,396.2,121.7,8.29,8
2026-04-24,md-1 activation,NF043,U16,WM,6450.3,755.4,317.5,9.83,5
24/04/2026,MD-1 ACTIVATION,NF007 ,U23,GK,2227.6,52.9,22.3,6.9,6
2026-04-22,MD-3 high intensity,NF055,U16,CM,11117.8,1320.8,350.0,,9
2026-04-22,Md-3 High Intensity,NF031,U18,FB,8662.5,846.8,328.8,,7
2026-04-24,md-1 activation,NF053,U16,FW,5817.8,790.6,317.6,9.42,7
2026-04-22,MD-3 HIGH INTENSITY,NF040,U18,WM,10709.5,1442.2,592.4,,3
2026-04-22,MD-3 HIGH INTENSITY,NF029,U18,FW,8752.9,852.3,358.1,,7
22/04/2026,md-3 high intensity,NF018,U23,CB,7173.9,480.1,205.6,,5
2026-04-24,MD-1 ACTIVATION,NF029,U18,FW,5449.2,684.7,263.5,9.17,7
24/04/2026,MD-1 ACTIVATION,NF037,U18,CB,4999.8,344.9,125.1,8.06,8
22 Apr 2026,Md-3 High Intensity,NF057 ,U16,CB,8104.3,680.2,271.6,,5
20 Apr 2026,match + 1 recovery,NF017,U23,FW,4717.7,678.5,179.6,9.1,4
2026-04-24,MD-1 ACTIVATION,NF021,U23,WM,7065.7,974.0,393.3,9.53,6
22/04/2026,md-3 high intensity,NF038 ,U18,FB,8674.2,1054.4,395.5,,6
24/04/2026,MD-1 activation,NF058,U16,WM,7013.8,793.3,321.9,9.22,6
24 Apr 2026,md-1 activation,NF049,U16,CM,7353.6,877.9,300.5,8.23,4
24 Apr 2026,Md-1 Activation,NF048,U16,FB,6727.6,772.8,309.5,9.4,4
24/04/2026,md-1 activation,NF055,U16,CM,6880.6,555.0,195.9,8.18,4
20 Apr 2026,Match + 1 recovery,NF004 ,U23,CB,3231.4,265.0,112.8,8.33,6
,,,,,,,,,
24/04/2026,Md-1 Activation,NF054 ,U16,FB,6283.9,670.0,271.5,8.75,9
2026-04-24,md-1 activation,NF045,U16,FW,6431.7,899.1,241.6,14.8,9
2026-04-22,MD-3 HIGH INTENSITY,NF004,U23,CB,7016.2,457.4,193.4,,3
20 Apr 2026,Match + 1 recovery,NF016 ,U23,FB,4663.1,474.8,143.9,8.62,7
2026-04-22,Md-3 High Intensity,NF007,U23,GK,4010.4,93.7,35.1,,8
2026-04-22,Md-3 High Intensity,NF044,U16,FB,9321.0,934.3,419.9,,8
22/04/2026,MD-3 high intensity,NF025,U18,FW,8428.8,1048.7,436.4,,7
2026-04-24,Md-1 Activation,NF041,U18,WM,6076.6,916.1,291.9,9.52,7
22 Apr 2026,MD-3 HIGH INTENSITY,NF060,U16,FB,10182.3,1104.5,339.7,,6
24/04/2026,MD-1 ACTIVATION,NF008 ,U23,CB,4401.1,312.6,106.6,8.16,4
2026-04-24,Md-1 Activation,NF030,U18,FW,5398.2,629.6,193.1,9.68,3
24/04/2026,Md-1 Activation,NF039,U18,FB,5581.3,581.7,178.8,9.24,7
2026-04-20,match + 1 recovery,NF021,U23,WM,4482.6,694.6,196.1,9.19,9
22 Apr 2026,Md-3 High Intensity,NF017,U23,FW,8818.9,934.2,312.0,,5
2026-04-22,Md-3 High Intensity,NF016,U23,FB,9090.0,1016.0,282.1,,6
2026-04-22,Md-3 High Intensity,NF048 ,U16,FB,9401.2,839.2,315.6,,9
2026-04-22,MD-3 HIGH INTENSITY,NF049,U16,CM,11204.8,1103.2,301.7,,6
20/04/2026,Match + 1 recovery,NF009 ,U23,GK,1868.2,32.7,8.8,6.64,8
24/04/2026,Md-1 Activation,NF009,U23,GK,2386.3,50.0,21.9,6.55,5
2026-04-22,MD-3 HIGH INTENSITY,NF023 ,U18,CB,7656.4,479.9,165.4,,7
24/04/2026,MD-1 activation,NF004,U23,CB,5135.8,385.5,106.9,7.55,8
2026-04-22,md-3 high intensity,NF019,U23,CB,7379.1,419.2,133.0,,7
2026-04-24,md-1 activation,NF027,U18,CB,5072.6,328.0,104.3,7.46,3
2026-04-24,MD-1 activation,NF006,U23,CM,7196.1,649.7,269.6,8.45,3
24 Apr 2026,MD-1 activation,NF022 ,U23,CB,4793.1,281.2,94.3,8.15,3
20 Apr 2026,Match + 1 Recovery,NF012,U23,CM,15780.800000000001,565.1,243.3,8.1,8
2026-04-22,MD-3 high intensity,NF035,U18,FW,9102.9,1079.0,364.8,,3
2026-04-24,md-1 activation,NF010,U23,WM,6797.0,748.1,193.8,8.69,5
2026-04-24,MD-1 activation,NF034,U18,WM,6547.3,915.7,295.2,9.18,5
22/04/2026,md-3 high intensity,NF001,U23,CM,10726.9,1144.3,367.0,,9
2026-04-22,Md-3 High Intensity,NF036,U18,CB,7590.1,570.9,160.1,,9
2026-04-20,match + 1 recovery,NF010,U23,WM,4684.4,697.1,208.9,8.88,3
2026-04-24,MD-1 activation,NF028,U18,CB,4477.0,317.2,103.2,7.93,4
20/04/2026,MATCH + 1 RECOVERY,NF018,U23,CB,3530.8,251.4,78.1,8.49,3
2026-04-22,md-3 high intensity,NF010,U23,WM,10932.0,1589.4,451.3,8.75,4
22/04/2026,Md-3 High Intensity,NF030,U18,FW,9773.8,978.5,385.5,,3
24/04/2026,md-1 activation,NF044,U16,FB,6394.1,673.0,248.3,9.59,9
2026-04-22,md-3 high intensity,NF052,U16,WM,10198.1,1243.6,448.2,,4
2026-04-22,md-3 high intensity,NF033,U18,FB,9400.2,1126.9,501.8,,5
2026-04-24,MD-1 ACTIVATION,NF033 ,U18,FB,6595.4,747.5,272.6,9.31,7
22/04/2026,MD-3 high intensity,NF045,U16,FW,8260.7,856.8,284.7,,5
22 Apr 2026,Md-3 High Intensity,NF046,U16,FW,8525.8,865.9,350.3,,4
2026-04-22,md-3 high intensity,NF009,U23,GK,3312.3,60.6,20.4,,9
24 Apr 2026,MD-1 activation,NF018,U23,CB,5309.3,303.8,123.5,8.36,9
24 Apr 2026,Md-1 Activation,NF051 ,U16,CM,6768.0,766.4,205.7,8.93,7
24/04/2026,MD-1 activation,NF046,U16,FW,5530.1,567.4,150.6,9.89,9
22/04/2026,Md-3 High Intensity,NF026 ,U18,CM,10935.1,1026.7,344.6,,5
2026-04-20,Match + 1 recovery,NF007,U23,GK,5140.8,26.0,9.4,6.78,9
22/04/2026,MD-3 HIGH INTENSITY,NF008,U23,CB,7169.5,427.0,142.7,,9
2026-04-22,MD-3 high intensity,NF042,U18,CB,7475.7,522.0,138.9,,8
22 Apr 2026,MD-3 high intensity,NF050,U16,CB,8193.0,514.7,185.4,,9
