player_id,squad,position,birth_year
NF001,U23,CM,2001
NF002,U23,WM,2001
NF003,U23,CB,2003
NF004,U23,CB,2003
NF005,U23,FW,2001
NF006,U23,CM,2001
NF007,U23,GK,2001
NF008,U23,CB,2003
NF009,U23,GK,2001
NF010,U23,WM,2003
NF011,U23,CM,2001
NF012,U23,CM,2002
NF013,U23,WM,2001
NF014,U23,WM,2001
NF015,U23,WM,2002
NF016,U23,FB,2001
NF017,U23,FW,2002
NF018,U23,CB,2002
NF019,U23,CB,2002
NF020,U23,CM,2001
NF021,U23,WM,2003
NF022,U23,CB,2002
NF023,U18,CB,2007
NF024,U18,FW,2008
NF025,U18,FW,2007
NF026,U18,CM,2008
NF027,U18,CB,2008
NF028,U18,CB,2007
NF029,U18,FW,2006
NF030,U18,FW,2007
NF031,U18,FB,2008
NF032,U18,FW,2006
NF033,U18,FB,2006
NF034,U18,WM,2008
NF035,U18,FW,2008
NF036,U18,CB,2008
NF037,U18,CB,2008
NF038,U18,FB,2007
NF039,U18,FB,2008
NF040,U18,WM,2006
NF041,U18,WM,2006
NF042,U18,CB,2006
NF043,U16,WM,2009
NF044,U16,FB,2008
NF045,U16,FW,2010
NF046,U16,FW,2009
NF047,U16,CB,2009
NF048,U16,FB,2010
NF049,U16,CM,2009
NF050,U16,CB,2010
NF051,U16,CM,2009
NF052,U16,WM,2009
NF053,U16,FW,2009
NF054,U16,FB,2008
NF055,U16,CM,2008
NF056,U16,WM,2008
NF057,U16,CB,2008
NF058,U16,WM,2009
NF059,U16,CM,2009
NF060,U16,FB,2009
